,Studio,Type,City,State/Province,Country
0,Avix Games, Developer,La Plata,Buenos Aires,Argentina
1,Beavl, Mobile,Buenos Aires,Buenos Aires,Argentina
2,Blyts, Developer,Buenos Aires,Buenos Aires,Argentina
3,Chimango Games, Mobile,Rafaela,Santa Fe,Argentina
4,Coffee Powered Machine, Developer,Buenos Aires,Buenos Aires,Argentina
5,Etermax, Mobile,Buenos Aires,Buenos Aires,Argentina
6,Game Ever Studio, Developer,Buenos Aires,Buenos Aires,Argentina
7,Gameloft, Mobile,Buenos Aires,Buenos Aires,Argentina
8,HopFrog, Developer,Sunchales,Santa Fe,Argentina
9,igda Argentina Chapter, Organization,Buenos Aires,Buenos Aires,Argentina
10,Inca Games, Publisher,Buenos Aires,Buenos Aires,Argentina
11,LemonChili, Mobile,Buenos Aires,Buenos Aires,Argentina
12,NGD Studios, Developer,Buenos Aires,Buenos Aires,Argentina
13,Nonsense Arts, Developer,Mendoza,Mendoza,Argentina
14,Okam Studio, Developer,Buenos Aires,Buenos Aires,Argentina
15,OneEyeAnt, Mobile,Rosario,Santa Fe,Argentina
16,OPQAM, Developer,Buenos Aires,Buenos Aires,Argentina
17,Pilgrims Game Studio, Developer,Cordoba,Cordoba,Argentina
18,Playnfo, Developer,Cordoba,Cordoba Capital,Argentina
19,QB9, Developer,Buenos Aires,Buenos Aires,Argentina
20,Ravegan, Developer,Cordoba,Cordoba,Argentina
21,Ravegan, Developer,Cordoba,Cordoba,Argentina
22,Red Katana, Mobile,Buenos Aires,Buenos Aires,Argentina
23,Sandstorm Interactive, Mobile,Buenos Aires,Buenos Aires,Argentina
24,Shoor Games , Developer,La Plata,Buenos Aires,Argentina
25,Team Güazú, Developer,La Plata,Buenos Aires,Argentina
26,Trick Gaming Studios, Developer,Buenos Aires,Buenos Aires,Argentina
27,Noor Games, Mobile,Yerevan,Yerevan,Armenia
28,Plexonic, Developer,Yerevan,Yerevan,Armenia
29,Triada Studio Games, Developer,Yerevan,Yerevan,Armenia
